id;type;cat_title;URL;keyword;keywords_cons;keywords_pro
9;food;Маргарин;https://online.globus.ru/search/?q=%D0%BC%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%BD&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;маргарин;масло|спред|топл[её]н;
9;food;Маргарин;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/slivochnoe-maslo-i-margarin?attr%5B1853%5D%5B%5D=margarin;маргарин;масло|спред|топл[её]н;
9;food;Маргарин;https://www.okeydostavka.ru/msk/molochnye-produkty-syry-iaitso-16100-20/molochnye-produkty-16101-20/maslo-slivochnoe-i-margarin-16113-20;маргарин;масло|спред|топл[её]н;
9;food;Маргарин;https://www.utkonos.ru/cat/15-2207-985544;маргарин;масло|спред|топл[её]н;
9;food;Маргарин;1001.0;маргарин;масло|спред|топл[её]н;
10;food;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности;https://online.globus.ru/search/?section_id=607&q=%D0%BC%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE&searchFilter_570_1566062185=Y&searchFilter_1414_1964963658=Y&searchFilter_1414_35243996=Y&searchFilter_1414_2601555558=Y&set_filter=Y?&count=64;молоко;козье|коз\.?|топл\.?|топленое|топлёное|ультрапастеризованное|ультрапаст\.?|утп\.?|коктейль|стерилизованное|стерил\.?;
10;food;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko?attr%5B1667%5D%5Bfrom%5D=2.43&attr%5B1667%5D%5Bto%5D=3.62&attr%5B1831%5D%5B%5D=pasterizovannoe;молоко;козье|коз\.?|топл\.?|топленое|топлёное|ультрапастеризованное|ультрапаст\.?|утп\.?|коктейль|стерилизованное|стерил\.?;
10;food;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности;https://www.okeydostavka.ru/msk/molochnye-produkty-syry-iaitso-16100-20/molochnye-produkty-16101-20/moloko-i-slivki-16110-20;молоко;козье|коз\.?|топл\.?|топленое|топлёное|ультрапастеризованное|ультрапаст\.?|утп\.?|коктейль|стерилизованное|стерил\.?;
10;food;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности;https://www.utkonos.ru/cat/11-2207-912019 https://www.utkonos.ru/cat/4261-2207-912019;молоко;козье|коз\.?|топл\.?|топленое|топлёное|ультрапастеризованное|ультрапаст\.?|утп\.?|коктейль|стерилизованное|стерил\.?;
11;food;Сметана;https://online.globus.ru/search/?section_id=634&q=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 https://online.globus.ru/search/?section_id=1173&q=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;сметана;сметанн(?:\.?ый)?\s*прод(?:\.?укт)?|прод(?:\.?укт)?\s*сметанн(?:\.?ый)?;
11;food;Сметана;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/smetana?;сметана;сметанн(?:\.?ый)?\s*прод(?:\.?укт)?|прод(?:\.?укт)?\s*сметанн(?:\.?ый)?;
11;food;Сметана;https://www.okeydostavka.ru/msk/molochnye-produkty-syry-iaitso-16100-20/molochnye-produkty-16101-20/smetana-16107-20;сметана;сметанн(?:\.?ый)?\s*прод(?:\.?укт)?|прод(?:\.?укт)?\s*сметанн(?:\.?ый)?;
11;food;Сметана;https://www.utkonos.ru/cat/2279 https://www.utkonos.ru/cat/4261-2207-912047;сметана;сметанн(?:\.?ый)?\s*прод(?:\.?укт)?|прод(?:\.?укт)?\s*сметанн(?:\.?ый)?;
11;food;Сметана;1102.0;сметана;сметанн(?:\.?ый)?\s*прод(?:\.?укт)?|прод(?:\.?укт)?\s*сметанн(?:\.?ый)?;
